"LEWISBURG 3 N, WV US (USC00465224)"
Date,TAVG (Degrees Fahrenheit),TMAX (Degrees Fahrenheit),TMIN (Degrees Fahrenheit),PRCP (Inches),SNOW (Inches),SNWD (Inches)
1853-05-23,,,,,,
1853-05-24,,,,,,
1853-05-25,,,,,,
1853-05-26,,,,,,
1853-05-27,,,,,,
1853-05-28,,,,,,
1853-05-29,,,,,,
1853-05-30,,,,,,
1853-05-31,,,,,,
1853-06-01,,,,,,
1853-06-02,,,,,,
1853-06-03,,,,,,
1853-06-04,,,,,,
1853-06-05,,,,,,
1853-06-06,,,,,,
1853-06-07,,,,,,
1853-06-08,,,,,,
1853-06-09,,,,,,
1853-06-10,,,,,,
1853-06-11,,,,,,
1853-06-12,,,,,,
1853-06-13,,,,,,
1853-06-14,,,,,,
1853-06-15,,,,,,
1853-06-16,,,,,,
1853-06-17,,,,,,
1853-06-18,,,,,,
1853-06-19,,,,,,
1853-06-20,,,,,,
1853-06-21,,,,,,
1853-06-22,,,,,,
1853-06-23,,,,,,
1853-06-24,,,,,,
1853-06-25,,,,,,
1853-06-26,,,,,,
1853-06-27,,,,,,
1853-06-28,,,,,,
1853-06-29,,,,,,
1853-06-30,,,,,,
1853-07-01,,,,,,
1853-07-02,,,,,,
1853-07-03,,,,,,
1853-07-04,,,,,,
1853-07-05,,,,,,
1853-07-06,,,,,,
1853-07-07,,,,,,
1853-07-08,,,,,,
1853-07-09,,,,,,
1853-07-10,,,,,,
1853-07-11,,,,,,
1853-07-12,,,,,,
1853-07-13,,,,,,
1853-07-14,,,,,,
1853-07-15,,,,,,
1853-07-16,,,,,,
1853-07-17,,,,,,
1853-07-18,,,,,,
1853-07-19,,,,,,
1853-07-20,,,,,,
1853-07-21,,,,,,
1853-07-22,,,,,,
1853-07-23,,,,,,
1853-07-24,,,,,,
1853-07-25,,,,,,
1853-07-26,,,,,,
1853-07-27,,,,,,
1853-07-28,,,,,,
1853-07-29,,,,,,
1853-07-30,,,,,,
1853-07-31,,,,,,
1853-08-01,,,,0.00,,
1853-08-02,,,,1.00,,
1853-08-03,,,,0.00,,
1853-08-04,,,,0.00,,
1853-08-05,,,,0.45,,
1853-08-06,,,,0.00,,
1853-08-07,,,,0.00,,
1853-08-08,,,,0.00,,
1853-08-09,,,,0.00,,
1853-08-10,,,,0.00,,
1853-08-11,,,,0.00,,
1853-08-12,,,,0.00,,
1853-08-13,,,,0.00,,
1853-08-14,,,,0.00,,
1853-08-15,,,,0.00,,
1853-08-16,,,,0.00,,
1853-08-17,,,,0.00,,
1853-08-18,,,,0.00,,
1853-08-19,,,,0.00,,
1853-08-20,,,,0.00,,
1853-08-21,,,,0.50,,
1853-08-22,,,,0.00,,
1853-08-23,,,,0.00,,
1853-08-24,,,,0.00,,
1853-08-25,,,,0.00,,
1853-08-26,,,,0.00,,
1853-08-27,,,,0.20,,
1853-08-28,,,,0.00,,
1853-08-29,,,,0.00,,
1853-08-30,,,,0.30,,
1853-08-31,,,,0.00,,
1853-09-01,,,,,,
1853-09-02,,,,,,
1853-09-03,,,,,,
1853-09-04,,,,,,
1853-09-05,,,,,,
1853-09-06,,,,,,
1853-09-07,,,,,,
1853-09-08,,,,,,
1853-09-09,,,,,,
1853-09-10,,,,,,
1853-09-11,,,,,,
1853-09-12,,,,,,
1853-09-13,,,,,,
1853-09-14,,,,,,
1853-09-15,,,,,,
1853-09-16,,,,,,
1853-09-17,,,,,,
1853-09-18,,,,,,
1853-09-19,,,,,,
1853-09-20,,,,,,
1853-09-21,,,,,,
1853-09-22,,,,,,
1853-09-23,,,,,,
1853-09-24,,,,,,
1853-09-25,,,,,,
1853-09-26,,,,,,
1853-09-27,,,,,,
1853-09-28,,,,,,
1853-09-29,,,,,,
1853-09-30,,,,,,
1853-10-01,,,,,,
1853-10-02,,,,,,
1853-10-03,,,,,,
1853-10-04,,,,,,
1853-10-05,,,,,,
1853-10-06,,,,,,
1853-10-07,,,,,,
1853-10-08,,,,,,
1853-10-09,,,,,,
1853-10-10,,,,,,
1853-10-11,,,,,,
1853-10-12,,,,,,
1853-10-13,,,,,,
1853-10-14,,,,,,
1853-10-15,,,,,,
1853-10-16,,,,,,
1853-10-17,,,,,,
1853-10-18,,,,,,
1853-10-19,,,,,,
1853-10-20,,,,,,
1853-10-21,,,,,,
1853-10-22,,,,,,
1853-10-23,,,,,,
1853-10-24,,,,,,
1853-10-25,,,,,,
1853-10-26,,,,,,
1853-10-27,,,,,,
1853-10-28,,,,,,
1853-10-29,,,,,,
1853-10-30,,,,,,
1853-10-31,,,,,,
1853-11-01,,,,,,
1853-11-02,,,,,,
1853-11-03,,,,,,
1853-11-04,,,,,,
1853-11-05,,,,,,
1853-11-06,,,,,,
1853-11-07,,,,,,
1853-11-08,,,,,,
1853-11-09,,,,,,
1853-11-10,,,,,,
1853-11-11,,,,,,
1853-11-12,,,,,,
1853-11-13,,,,,,
1853-11-14,,,,,,
1853-11-15,,,,,,
1853-11-16,,,,,,
1853-11-17,,,,,,
1853-11-18,,,,,,
1853-11-19,,,,,,
1853-11-20,,,,,,
1853-11-21,,,,,,
1853-11-22,,,,,,
1853-11-23,,,,,,
1853-11-24,,,,,,
1853-11-25,,,,,,
1853-11-26,,,,,,
1853-11-27,,,,,,
1853-11-28,,,,,,
1853-11-29,,,,,,
1853-11-30,,,,,,
1853-12-01,,,,,,
1853-12-02,,,,,,
1853-12-03,,,,,,
1853-12-04,,,,,,
1853-12-05,,,,,,
1853-12-06,,,,,,
1853-12-07,,,,,,
1853-12-08,,,,,,
1853-12-09,,,,,,
1853-12-10,,,,,,
1853-12-11,,,,,,
1853-12-12,,,,,,
1853-12-13,,,,,,
1853-12-14,,,,,,
1853-12-15,,,,,,
1853-12-16,,,,,,
1853-12-17,,,,2.00,,
1853-12-18,,,,,,
1853-12-19,,,,0.88,,
1853-12-20,,,,,,
1853-12-21,,,,,,
1853-12-22,,,,,,
1853-12-23,,,,1.50,,
1853-12-24,,,,,,
1853-12-25,,,,,,
1853-12-26,,,,,,
1853-12-27,,,,,,
1853-12-28,,,,,,
1853-12-29,,,,,,
1853-12-30,,,,0.10,,
1853-12-31,,,,,,
1854-01-01,,,,,,
1854-01-02,,,,,,
1854-01-03,,,,,,
1854-01-04,,,,,,
1854-01-05,,,,,,
1854-01-06,,,,,,
1854-01-07,,,,,,
1854-01-08,,,,,,
1854-01-09,,,,,,
1854-01-10,,,,,,
1854-01-11,,,,,,
1854-01-12,,,,,,
1854-01-13,,,,,,
1854-01-14,,,,,,
1854-01-15,,,,,,
1854-01-16,,,,,,
1854-01-17,,,,,,
1854-01-18,,,,,,
1854-01-19,,,,,,
1854-01-20,,,,,,
1854-01-21,,,,,,
1854-01-22,,,,,,
1854-01-23,,,,,,
1854-01-24,,,,,,
1854-01-25,,,,,,
1854-01-26,,,,,,
1854-01-27,,,,,,
1854-01-28,,,,,,
1854-01-29,,,,,,
1854-01-30,,,,,,
1854-01-31,,,,,,
1854-02-01,,,,,,
1854-02-02,,,,,,
1854-02-03,,,,,,
1854-02-04,,,,,,
1854-02-05,,,,,,
1854-02-06,,,,,,
1854-02-07,,,,,,
1854-02-08,,,,,,
1854-02-09,,,,,,
1854-02-10,,,,,,
1854-02-11,,,,,,
1854-02-12,,,,,,
1854-02-13,,,,,,
1854-02-14,,,,,,
1854-02-15,,,,,,
1854-02-16,,,,,,
1854-02-17,,,,,,
1854-02-18,,,,,,
1854-02-19,,,,,,
1854-02-20,,,,,,
1854-02-21,,,,,,
1854-02-22,,,,,,
1854-02-23,,,,,,
1854-02-24,,,,,,
1854-02-25,,,,,,
1854-02-26,,,,,,
1854-02-27,,,,,,
1854-02-28,,,,,,
1854-03-01,,,,,,
1854-03-02,,,,,,
1854-03-03,,,,,,
1854-03-04,,,,,,
1854-03-05,,,,,,
1854-03-06,,,,,,
1854-03-07,,,,,,
1854-03-08,,,,,,
1854-03-09,,,,,,
1854-03-10,,,,,,
1854-03-11,,,,,,
1854-03-12,,,,,,
1854-03-13,,,,,,
1854-03-14,,,,,,
1854-03-15,,,,,,
1854-03-16,,,,,,
1854-03-17,,,,,,
1854-03-18,,,,,,
1854-03-19,,,,,,
1854-03-20,,,,,,
1854-03-21,,,,,,
1854-03-22,,,,,,
1854-03-23,,,,,,
1854-03-24,,,,,,
1854-03-25,,,,,,
1854-03-26,,,,,,
1854-03-27,,,,,,
1854-03-28,,,,,,
1854-03-29,,,,,,
1854-03-30,,,,,,
1854-03-31,,,,,,
1854-04-01,,,,0.00,,
1854-04-02,,,,0.00,,
1854-04-03,,,,0.00,,
1854-04-04,,,,0.00,,
1854-04-05,,,,0.00,,
1854-04-06,,,,0.00,,
1854-04-07,,,,0.00,,
1854-04-08,,,,0.00,,
1854-04-09,,,,0.00,,
1854-04-10,,,,0.00,,
1854-04-11,,,,0.00,,
1854-04-12,,,,0.00,,
1854-04-13,,,,0.00,,
1854-04-14,,,,0.00,,
1854-04-15,,,,0.00,,
1854-04-16,,,,0.00,,
1854-04-17,,,,0.00,,
1854-04-18,,,,0.00,,
1854-04-19,,,,0.00,,
1854-04-20,,,,1.38,,
1854-04-21,,,,0.00,,
1854-04-22,,,,0.00,,
1854-04-23,,,,0.00,,
1854-04-24,,,,0.00,,
1854-04-25,,,,0.00,,
1854-04-26,,,,0.00,,
1854-04-27,,,,0.00,,
1854-04-28,,,,0.00,,
1854-04-29,,,,0.00,,
1854-04-30,,,,1.05,,
1854-05-01,,,,0.00,,
1854-05-02,,,,0.00,,
1854-05-03,,,,0.00,,
1854-05-04,,,,0.00,,
1854-05-05,,,,0.00,,
1854-05-06,,,,0.00,,
1854-05-07,,,,0.00,,
1854-05-08,,,,0.00,,
1854-05-09,,,,0.10,,
1854-05-10,,,,0.25,,
1854-05-11,,,,0.00,,
1854-05-12,,,,0.00,,
1854-05-13,,,,0.00,,
1854-05-14,,,,0.00,,
1854-05-15,,,,0.00,,
1854-05-16,,,,0.00,,
1854-05-17,,,,0.00,,
1854-05-18,,,,0.00,,
1854-05-19,,,,0.00,,
1854-05-20,,,,0.15,,
1854-05-21,,,,0.00,,
1854-05-22,,,,0.00,,
1854-05-23,,,,0.00,,
1854-05-24,,,,0.30,,
1854-05-25,,,,0.00,,
1854-05-26,,,,0.00,,
1854-05-27,,,,0.00,,
1854-05-28,,,,0.00,,
1854-05-29,,,,0.00,,
1854-05-30,,,,0.00,,
1854-05-31,,,,0.55,,
1854-06-01,,,,0.00,,
1854-06-02,,,,0.00,,
1854-06-03,,,,0.00,,
1854-06-04,,,,0.00,,
1854-06-05,,,,0.00,,
1854-06-06,,,,0.00,,
1854-06-07,,,,0.20,,
1854-06-08,,,,0.00,,
1854-06-09,,,,0.00,,
1854-06-10,,,,1.10,,
1854-06-11,,,,0.00,,
1854-06-12,,,,0.15,,
1854-06-13,,,,0.00,,
1854-06-14,,,,0.00,,
1854-06-15,,,,0.00,,
1854-06-16,,,,0.00,,
1854-06-17,,,,0.00,,
1854-06-18,,,,0.00,,
1854-06-19,,,,0.00,,
1854-06-20,,,,0.00,,
1854-06-21,,,,0.40,,
1854-06-22,,,,0.00,,
1854-06-23,,,,0.00,,
1854-06-24,,,,1.30,,
1854-06-25,,,,0.00,,
1854-06-26,,,,0.00,,
1854-06-27,,,,0.00,,
1854-06-28,,,,0.00,,
1854-06-29,,,,0.50,,
1854-06-30,,,,0.10,,
1854-07-01,,,,0.00,,
1854-07-02,,,,0.00,,
1854-07-03,,,,0.00,,
1854-07-04,,,,0.00,,
1854-07-05,,,,0.00,,
1854-07-06,,,,0.00,,
1854-07-07,,,,0.00,,
1854-07-08,,,,0.00,,
1854-07-09,,,,0.00,,
1854-07-10,,,,0.00,,
1854-07-11,,,,0.00,,
1854-07-12,,,,1.25,,
1854-07-13,,,,0.00,,
1854-07-14,,,,0.00,,
1854-07-15,,,,0.00,,
1854-07-16,,,,0.00,,
1854-07-17,,,,0.00,,
1854-07-18,,,,0.00,,
1854-07-19,,,,0.00,,
1854-07-20,,,,0.00,,
1854-07-21,,,,0.00,,
1854-07-22,,,,0.00,,
1854-07-23,,,,0.00,,
1854-07-24,,,,0.00,,
1854-07-25,,,,0.00,,
1854-07-26,,,,0.00,,
1854-07-27,,,,0.00,,
1854-07-28,,,,0.00,,
1854-07-29,,,,0.00,,
1854-07-30,,,,0.00,,
1854-07-31,,,,0.00,,
1854-08-01,,,,0.00,,
1854-08-02,,,,0.00,,
1854-08-03,,,,0.40,,
1854-08-04,,,,0.00,,
1854-08-05,,,,0.00,,
1854-08-06,,,,0.00,,
1854-08-07,,,,0.00,,
1854-08-08,,,,0.00,,
1854-08-09,,,,0.00,,
1854-08-10,,,,0.00,,
1854-08-11,,,,0.00,,
1854-08-12,,,,1.95,,
1854-08-13,,,,0.00,,
1854-08-14,,,,0.00,,
1854-08-15,,,,0.00,,
1854-08-16,,,,0.00,,
1854-08-17,,,,0.00,,
1854-08-18,,,,0.00,,
1854-08-19,,,,0.35,,
1854-08-20,,,,0.00,,
1854-08-21,,,,0.00,,
1854-08-22,,,,0.00,,
1854-08-23,,,,0.00,,
1854-08-24,,,,0.00,,
1854-08-25,,,,0.00,,
1854-08-26,,,,0.00,,
1854-08-27,,,,0.30,,
1854-08-28,,,,0.00,,
1854-08-29,,,,0.00,,
1854-08-30,,,,0.00,,
1854-08-31,,,,0.00,,
1854-09-01,,,,0.00,,
1854-09-02,,,,0.00,,
1854-09-03,,,,0.00,,
1854-09-04,,,,0.00,,
1854-09-05,,,,0.00,,
1854-09-06,,,,0.00,,
1854-09-07,,,,0.00,,
1854-09-08,,,,0.00,,
1854-09-09,,,,0.40,,
1854-09-10,,,,0.00,,
1854-09-11,,,,0.00,,
1854-09-12,,,,0.00,,
1854-09-13,,,,1.80,,
1854-09-14,,,,0.60,,
1854-09-15,,,,0.00,,
1854-09-16,,,,0.00,,
1854-09-17,,,,0.00,,
1854-09-18,,,,0.00,,
1854-09-19,,,,0.00,,
1854-09-20,,,,0.60,,
1854-09-21,,,,0.00,,
1854-09-22,,,,0.00,,
1854-09-23,,,,0.00,,
1854-09-24,,,,0.00,,
1854-09-25,,,,0.00,,
1854-09-26,,,,0.00,,
1854-09-27,,,,0.00,,
1854-09-28,,,,0.00,,
1854-09-29,,,,0.00,,
1854-09-30,,,,0.00,,
1854-10-01,,,,,,
1854-10-02,,,,,,
1854-10-03,,,,,,
1854-10-04,,,,,,
1854-10-05,,,,,,
1854-10-06,,,,,,
1854-10-07,,,,,,
1854-10-08,,,,,,
1854-10-09,,,,,,
1854-10-10,,,,,,
1854-10-11,,,,,,
1854-10-12,,,,,,
1854-10-13,,,,,,
1854-10-14,,,,,,
1854-10-15,,,,,,
1854-10-16,,,,,,
1854-10-17,,,,,,
1854-10-18,,,,,,
1854-10-19,,,,,,
1854-10-20,,,,,,
1854-10-21,,,,,,
1854-10-22,,,,,,
1854-10-23,,,,,,
1854-10-24,,,,,,
1854-10-25,,,,,,
1854-10-26,,,,,,
1854-10-27,,,,,,
1854-10-28,,,,,,
1854-10-29,,,,,,
1854-10-30,,,,,,
1854-10-31,,,,,,
1854-11-01,,,,,,
1854-11-02,,,,,,
1854-11-03,,,,,,
1854-11-04,,,,,,
1854-11-05,,,,,,
1854-11-06,,,,,,
1854-11-07,,,,,,
1854-11-08,,,,,,
1854-11-09,,,,,,
1854-11-10,,,,,,
1854-11-11,,,,,,
1854-11-12,,,,,,
1854-11-13,,,,,,
1854-11-14,,,,,,
1854-11-15,,,,,,
1854-11-16,,,,,,
1854-11-17,,,,,,
1854-11-18,,,,,,
1854-11-19,,,,,,
1854-11-20,,,,,,
1854-11-21,,,,,,
1854-11-22,,,,,,
1854-11-23,,,,,,
1854-11-24,,,,,,
1854-11-25,,,,,,
1854-11-26,,,,,,
1854-11-27,,,,,,
1854-11-28,,,,,,
1854-11-29,,,,,,
1854-11-30,,,,,,
1854-12-01,,,,,,
1854-12-02,,,,,,
1854-12-03,,,,,,
1854-12-04,,,,,,
1854-12-05,,,,,,
1854-12-06,,,,,,
1854-12-07,,,,,,
1854-12-08,,,,,,
1854-12-09,,,,,,
1854-12-10,,,,,,
1854-12-11,,,,,,
1854-12-12,,,,,,
1854-12-13,,,,,,
1854-12-14,,,,,,
1854-12-15,,,,,,
1854-12-16,,,,,,
1854-12-17,,,,,,
1854-12-18,,,,,,
1854-12-19,,,,,,
1854-12-20,,,,,,
1854-12-21,,,,,,
1854-12-22,,,,,,
1854-12-23,,,,,,
1854-12-24,,,,,,
1854-12-25,,,,,,
1854-12-26,,,,,,
1854-12-27,,,,,,
1854-12-28,,,,,,
1854-12-29,,,,,,
1854-12-30,,,,,,
1854-12-31,,,,,,
1855-01-01,,,,,,
1855-01-02,,,,,,
1855-01-03,,,,,,
1855-01-04,,,,,,
1855-01-05,,,,,,
1855-01-06,,,,,,
1855-01-07,,,,,,
1855-01-08,,,,,,
1855-01-09,,,,,,
1855-01-10,,,,,,
1855-01-11,,,,,,
1855-01-12,,,,,,
1855-01-13,,,,,,
1855-01-14,,,,,,
1855-01-15,,,,,,
1855-01-16,,,,,,
1855-01-17,,,,,,
1855-01-18,,,,,,
1855-01-19,,,,,,
1855-01-20,,,,,,
1855-01-21,,,,,,
1855-01-22,,,,,,
1855-01-23,,,,,,
1855-01-24,,,,,,
1855-01-25,,,,,,
1855-01-26,,,,,,
1855-01-27,,,,,,
1855-01-28,,,,,,
1855-01-29,,,,,,
1855-01-30,,,,,,
1855-01-31,,,,,,
1855-02-01,,,,,,
1855-02-02,,,,,,
1855-02-03,,,,,,
1855-02-04,,,,,,
1855-02-05,,,,,,
1855-02-06,,,,,,
1855-02-07,,,,,,
1855-02-08,,,,,,
1855-02-09,,,,,,
1855-02-10,,,,,,
1855-02-11,,,,,,
1855-02-12,,,,,,
1855-02-13,,,,,,
1855-02-14,,,,,,
1855-02-15,,,,,,
1855-02-16,,,,,,
1855-02-17,,,,,,
1855-02-18,,,,,,
1855-02-19,,,,,,
1855-02-20,,,,,,
1855-02-21,,,,,,
1855-02-22,,,,,,
1855-02-23,,,,,,
1855-02-24,,,,,,
1855-02-25,,,,,,
1855-02-26,,,,,,
1855-02-27,,,,,,
1855-02-28,,,,,,
1855-03-01,,,,,,
1855-03-02,,,,,,
1855-03-03,,,,,,
1855-03-04,,,,,,
1855-03-05,,,,,,
1855-03-06,,,,,,
1855-03-07,,,,,,
1855-03-08,,,,,,
1855-03-09,,,,,,
1855-03-10,,,,,,
1855-03-11,,,,,,
1855-03-12,,,,,,
1855-03-13,,,,,,
1855-03-14,,,,,,
1855-03-15,,,,,,
1855-03-16,,,,,,
1855-03-17,,,,,,
1855-03-18,,,,,,
1855-03-19,,,,,,
1855-03-20,,,,,,
1855-03-21,,,,,,
1855-03-22,,,,,,
1855-03-23,,,,,,
1855-03-24,,,,,,
1855-03-25,,,,,,
1855-03-26,,,,,,
1855-03-27,,,,,,
1855-03-28,,,,,,
1855-03-29,,,,,,
1855-03-30,,,,,,
1855-03-31,,,,,,
1855-04-01,,,,,,
1855-04-02,,,,,,
1855-04-03,,,,,,
1855-04-04,,,,,,
1855-04-05,,,,,,
1855-04-06,,,,,,
1855-04-07,,,,,,
1855-04-08,,,,,,
1855-04-09,,,,,,
1855-04-10,,,,,,
1855-04-11,,,,,,
1855-04-12,,,,,,
1855-04-13,,,,,,
1855-04-14,,,,,,
1855-04-15,,,,,,
1855-04-16,,,,,,
1855-04-17,,,,,,
1855-04-18,,,,,,
1855-04-19,,,,,,
1855-04-20,,,,,,
1855-04-21,,,,,,
1855-04-22,,,,,,
1855-04-23,,,,,,
1855-04-24,,,,,,
1855-04-25,,,,,,
1855-04-26,,,,,,
1855-04-27,,,,,,
1855-04-28,,,,,,
1855-04-29,,,,,,
1855-04-30,,,,,,
1855-05-01,,,,,,
1855-05-02,,,,,,
1855-05-03,,,,,,
1855-05-04,,,,,,
1855-05-05,,,,,,
1855-05-06,,,,,,
1855-05-07,,,,,,
1855-05-08,,,,,,
1855-05-09,,,,,,
1855-05-10,,,,,,
1855-05-11,,,,,,
1855-05-12,,,,,,
1855-05-13,,,,,,
1855-05-14,,,,,,
1855-05-15,,,,,,
1855-05-16,,,,,,
1855-05-17,,,,,,
1855-05-18,,,,,,
1855-05-19,,,,,,
1855-05-20,,,,,,
1855-05-21,,,,,,
1855-05-22,,,,,,
1855-05-23,,,,,,
1855-05-24,,,,,,
1855-05-25,,,,,,
1855-05-26,,,,,,
1855-05-27,,,,,,
1855-05-28,,,,,,
1855-05-29,,,,,,
1855-05-30,,,,,,
1855-05-31,,,,,,
1855-06-01,,,,,,
1855-06-02,,,,,,
1855-06-03,,,,,,
